Pathway	ERR1960500	ERR1960501	ERR1960503	ERR1960504	ERR1960505	ERR1960506	ERR1960507	ERR1960508	ERR1960509	ERR1960510	ERR1960511	ERR1960512	ERR1960513	ERR1960515	ERR3078909	ERR3078910	ERR3078911	ERR3078912	ERR3078913	ERR3890090	ERR3890091	ERR3890092	ERR3890093	ERR3890094	ERR3890095	ERR3890096	ERR3890097	ERR3890098	ERR3890099	ERR3890100	ERR3890102	ERR3890103	ERR3890104	ERR3890105	ERR3890106	ERR3890107	ERR3890108	ERR3890109	ERR3890110	ERR3890111	ERR3890112	SRR12277191	SRR12277192	SRR12277193	SRR12277194	SRR12277195	SRR12277196	SRR12277197	SRR12277198	SRR12277199	SRR12277200	SRR12277201	SRR12277202	SRR13106729	SRR13106730	SRR13106731	SRR13106732	SRR13106733	SRR13106734	SRR13106735	SRR13106736	SRR13106737	SRR13106738	SRR13106739	SRR13106740
PWY-1501: mandelate degradation I	0	0	5.36E-07	1.67E-06	7.22E-07	4.84E-07	0	0	0	0	6.71E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-06	1.25E-06
PWY-1501: mandelate degradation I|unclassified	0	0	5.36E-07	1.67E-06	7.22E-07	4.84E-07	0	0	0	0	6.71E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-06	1.25E-06
PWY-1541: superpathway of taurine degradation	0	0	2.99E-07	1.89E-06	5.31E-07	0	0	0	0	2.40E-06	1.02E-06	0	0	5.92E-07	1.39E-06	1.03E-06	7.36E-07	0	8.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.87E-07	8.03E-07	4.71E-07	0	0	0	0	1.01E-06	0	0	0	0	0	0	0	6.19E-07	0	0	0	9.33E-07
PWY-1541: superpathway of taurine degradation|unclassified	0	0	2.99E-07	1.89E-06	5.31E-07	0	0	0	0	2.40E-06	1.02E-06	0	0	5.92E-07	1.39E-06	1.03E-06	7.36E-07	0	8.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.87E-07	8.03E-07	4.71E-07	0	0	0	0	1.01E-06	0	0	0	0	0	0	0	6.19E-07	0	0	0	9.33E-07
PWY-1622: formaldehyde assimilation I (serine pathway)	0	7.94E-07	2.22E-06	6.79E-06	4.50E-06	1.53E-06	0	0	0	3.65E-06	2.50E-06	2.27E-06	7.57E-07	0	1.86E-06	0	1.38E-06	0	0	1.67E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19E-06	8.94E-07	2.51E-06	0	0	1.79E-06	0	0	0	0	1.99E-06	0	0	0	0	3.00E-06	4.90E-06	0	8.29E-07	0	0	0	8.75E-07
PWY-1622: formaldehyde assimilation I (serine pathway)|unclassified	0	7.94E-07	2.22E-06	6.78E-06	4.49E-06	1.53E-06	0	0	0	3.65E-06	2.49E-06	2.27E-06	7.57E-07	0	1.86E-06	0	1.38E-06	0	0	1.67E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19E-06	8.94E-07	2.51E-06	0	0	1.79E-06	0	0	0	0	1.99E-06	0	0	0	0	3.00E-06	4.90E-06	0	8.29E-07	0	0	0	8.75E-07
PWY-181: photorespiration	0	2.22E-06	0	3.44E-06	3.53E-06	3.26E-06	0	0	2.91E-06	4.78E-06	3.99E-06	2.49E-06	1.90E-06	0	3.65E-06	0	1.43E-06	1.33E-06	0	0	0	0	0	2.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-06	0	3.07E-06	2.04E-06	0	0	1.42E-06	2.56E-06
PWY-181: photorespiration|unclassified	0	2.22E-06	0	3.43E-06	3.53E-06	3.26E-06	0	0	2.91E-06	4.78E-06	3.97E-06	2.49E-06	1.90E-06	0	3.64E-06	0	1.43E-06	1.33E-06	0	0	0	0	0	2.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-06	0	3.07E-06	2.04E-06	0	0	1.42E-06	2.56E-06
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0	3.36E-06	2.64E-06	9.79E-06	1.84E-06	3.80E-06	0	0	9.14E-06	1.96E-05	3.71E-06	3.58E-05	2.80E-06	3.57E-05	1.84E-06	0	0	9.25E-07	1.34E-06	4.66E-05	7.43E-05	3.13E-05	0	2.41E-05	2.48E-05	1.60E-05	2.61E-05	4.15E-05	2.39E-05	2.55E-05	3.40E-05	3.73E-05	4.12E-05	2.21E-05	4.38E-05	3.63E-05	3.52E-05	3.86E-05	6.06E-05	9.95E-05	0	0	0	1.32E-06	0	0	2.71E-06	2.93E-06	3.27E-06	0	0	0	2.93E-06	0	0	9.94E-06	7.31E-06	9.53E-06	1.50E-05	3.35E-06	6.79E-06	2.96E-05	0	2.43E-06	3.36E-06
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|unclassified	0	3.36E-06	2.63E-06	9.77E-06	1.84E-06	3.80E-06	0	0	9.14E-06	1.96E-05	3.71E-06	3.58E-05	2.80E-06	3.57E-05	1.83E-06	0	0	9.24E-07	1.34E-06	4.66E-05	7.43E-05	3.13E-05	0	2.41E-05	2.48E-05	1.60E-05	2.61E-05	4.15E-05	2.39E-05	2.55E-05	3.40E-05	3.63E-05	4.11E-05	2.21E-05	4.38E-05	3.63E-05	3.52E-05	3.86E-05	6.06E-05	1.83E-05	0	0	0	1.32E-06	0	0	2.71E-06	2.93E-06	3.27E-06	0	0	0	2.93E-06	0	0	9.94E-06	7.31E-06	9.53E-06	1.50E-05	3.35E-06	6.79E-06	2.96E-05	0	2.43E-06	3.36E-06
PWY-1882: superpathway of C1 compounds oxidation to CO2	0	0	5.30E-07	7.29E-07	1.64E-06	0	0	0	0	4.10E-07	8.50E-07	0	1.04E-06	3.00E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-06	0	0	0	0	2.25E-06	0	0	0	0	6.62E-07	0	0	0	0	0	0	0
PWY-1882: superpathway of C1 compounds oxidation to CO2|unclassified	0	0	5.30E-07	7.29E-07	1.64E-06	0	0	0	0	4.10E-07	8.49E-07	0	1.04E-06	3.00E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-06	0	0	0	0	2.25E-06	0	0	0	0	6.62E-07	0	0	0	0	0	0	0
PWY-2201: folate transformations I	0	0	0	2.24E-06	1.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20E-06	0	0	0	0	7.79E-06	0	4.72E-06	5.51E-06	5.82E-06	0	6.30E-06	0	0	0	7.86E-06	3.86E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2201: folate transformations I|unclassified	0	0	0	2.23E-06	1.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20E-06	0	0	0	0	7.79E-06	0	4.72E-06	5.51E-06	5.82E-06	0	6.29E-06	0	0	0	7.86E-06	3.86E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	1.69E-05	1.21E-05	0	0	6.51E-06	0	1.66E-05	0	2.30E-05	2.89E-06	1.62E-05	1.78E-06	0	0	0	2.02E-06	0	3.52E-06	0	0	1.92E-06	0	0	5.64E-06	0	0	5.17E-06	0	0	6.84E-06	0	3.46E-06	4.05E-06	0	2.84E-06	0	0	0	0	0	0	0	0	2.19E-06	0	0	0	0	0	2.30E-06	0	0	0	0	2.09E-06	3.28E-06	2.38E-06	3.37E-06	0	0	0	2.08E-06
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)|unclassified	0	0	0	1.68E-05	1.20E-05	0	0	6.51E-06	0	1.65E-05	0	2.30E-05	2.87E-06	1.61E-05	1.78E-06	0	0	0	2.02E-06	0	3.52E-06	0	0	1.92E-06	0	0	5.64E-06	0	0	5.17E-06	0	0	6.84E-06	0	3.46E-06	4.05E-06	0	2.84E-06	0	0	0	0	0	0	0	0	2.19E-06	0	0	0	0	0	2.29E-06	0	0	0	0	2.09E-06	3.27E-06	2.38E-06	3.37E-06	0	0	0	2.08E-06
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	0	3.88E-05	3.82E-05	4.45E-05	3.72E-05	4.05E-05	4.53E-06	2.82E-05	2.46E-05	3.95E-05	4.35E-05	1.89E-05	4.90E-05	2.72E-05	4.84E-05	3.86E-05	3.30E-05	3.48E-05	3.27E-05	8.22E-06	0	5.44E-06	1.39E-05	1.05E-05	1.15E-05	0	1.26E-05	3.19E-06	5.03E-06	1.81E-05	4.19E-06	1.24E-05	2.56E-05	2.01E-06	0	1.35E-05	4.70E-06	1.07E-05	1.93E-05	9.74E-05	0	6.81E-05	4.05E-05	3.92E-05	4.03E-05	4.80E-05	4.63E-05	5.19E-05	5.66E-05	6.84E-05	6.25E-05	3.85E-05	4.38E-05	0	0	2.05E-05	1.81E-05	3.53E-05	3.12E-05	4.21E-05	4.35E-05	1.29E-05	0	4.18E-05	4.61E-05
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified"	0	3.87E-05	3.51E-05	3.87E-05	2.99E-05	3.95E-05	4.53E-06	2.82E-05	2.46E-05	3.95E-05	4.29E-05	1.89E-05	4.80E-05	2.72E-05	4.15E-05	3.68E-05	3.20E-05	3.21E-05	3.27E-05	8.22E-06	0	5.44E-06	1.39E-05	1.05E-05	1.11E-05	0	1.26E-05	3.19E-06	5.03E-06	1.81E-05	4.19E-06	7.68E-06	2.51E-05	2.01E-06	0	1.35E-05	4.70E-06	1.07E-05	1.93E-05	0	0	6.81E-05	4.05E-05	3.92E-05	4.03E-05	4.80E-05	4.63E-05	5.19E-05	5.66E-05	6.84E-05	6.25E-05	3.80E-05	4.34E-05	0	0	2.05E-05	1.81E-05	3.53E-05	3.12E-05	4.21E-05	4.35E-05	1.29E-05	0	4.18E-05	4.61E-05
PWY-2941: L-lysine biosynthesis II	0	3.31E-06	3.63E-06	4.64E-06	5.48E-07	2.11E-06	0	0	6.39E-06	2.41E-05	6.86E-06	4.32E-06	6.38E-06	6.14E-06	2.34E-06	0	0	0	5.47E-06	0	0	0	0	4.19E-06	1.36E-05	0	0	0	0	0	0	0	7.35E-06	0	0	3.80E-06	0	0	2.00E-06	0.000171099	0	0	0	0	3.14E-06	7.31E-06	7.59E-06	3.54E-06	0	0	0	0	6.69E-06	0	0	0	3.33E-05	1.76E-05	2.38E-05	5.01E-06	6.38E-06	0	0	1.02E-05	7.59E-06
PWY-2941: L-lysine biosynthesis II|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|unclassified	0	3.31E-06	3.62E-06	4.63E-06	5.48E-07	2.11E-06	0	0	6.39E-06	2.41E-05	6.85E-06	4.32E-06	6.37E-06	6.14E-06	2.33E-06	0	0	0	5.47E-06	0	0	0	0	4.19E-06	1.36E-05	0	0	0	0	0	0	0	7.34E-06	0	0	3.80E-06	0	0	2.00E-06	1.86E-05	0	0	0	0	3.14E-06	7.31E-06	7.59E-06	3.54E-06	0	0	0	0	0	0	0	0	3.33E-05	1.76E-05	2.38E-05	5.01E-06	6.38E-06	0	0	1.02E-05	7.59E-06
PWY-2942: L-lysine biosynthesis III	0	4.93E-05	8.81E-05	0.000114766	0.00011546	6.02E-05	6.14E-06	7.44E-05	4.72E-05	0.000120959	5.12E-05	0.000131772	7.75E-05	0.000110581	6.37E-05	0.000111069	0.000106547	0.000100356	0.000106239	7.37E-05	9.79E-05	6.11E-05	3.36E-05	3.19E-05	4.05E-05	3.12E-05	5.20E-05	5.99E-05	4.10E-05	6.37E-05	5.75E-05	6.22E-05	0.000103027	0.000119785	7.81E-05	5.11E-05	4.27E-05	7.01E-05	3.76E-05	0.000317133	0	0.000137212	6.42E-05	6.46E-05	7.04E-05	8.92E-05	7.51E-05	8.88E-05	9.43E-05	0.000143254	0.000122981	5.82E-05	7.01E-05	0	0	0.000126788	9.05E-05	0.00014429	0.000108863	0.000107511	0.000113519	8.89E-05	0	0.000109395	0.000121929
PWY-2942: L-lysine biosynthesis III|g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	0	0	2.89E-06	7.20E-06	8.11E-06	0	0	0	0	0	0	0	0	0	7.62E-06	2.43E-06	0	3.37E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Limnoraphis.s__Limnoraphis_robusta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Pseudomonas.s__Pseudomonas_fluorescens_group	0	0	0	0	0	0	0	0	0	0	0	0	2.24E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|unclassified	0	4.91E-05	8.46E-05	0.000106651	0.000105922	5.90E-05	6.14E-06	7.44E-05	4.72E-05	0.000120932	5.10E-05	0.000131772	7.68E-05	0.000110581	5.54E-05	0.000105401	0.00010298	9.64E-05	0.000106239	7.37E-05	9.79E-05	6.11E-05	3.36E-05	3.19E-05	4.05E-05	3.12E-05	5.20E-05	5.99E-05	4.10E-05	6.37E-05	5.75E-05	5.89E-05	0.000101885	0.000119785	7.81E-05	5.11E-05	4.27E-05	7.01E-05	3.76E-05	0.000190942	0	0.000137212	6.42E-05	6.46E-05	7.04E-05	8.92E-05	7.51E-05	8.88E-05	9.43E-05	0.000143254	0.000122981	5.82E-05	7.01E-05	0	0	0.000126788	9.05E-05	0.00014429	0.000108863	0.000107511	0.000113519	8.89E-05	0	0.000109395	0.000121929
PWY-3001: superpathway of L-isoleucine biosynthesis I	0	6.02E-05	9.15E-05	0.000118685	0.000114042	6.26E-05	1.23E-05	7.96E-05	4.08E-05	0.000112758	5.90E-05	0.00012363	9.79E-05	0.000112596	5.80E-05	8.46E-05	8.65E-05	8.49E-05	9.85E-05	2.48E-05	5.33E-05	4.45E-05	1.18E-05	3.50E-05	3.72E-05	1.02E-05	2.56E-05	4.57E-05	2.38E-05	4.16E-05	2.54E-05	5.11E-05	5.72E-05	1.11E-05	5.86E-05	4.47E-05	3.47E-05	3.58E-05	2.89E-05	0.00038714	0	7.18E-05	3.99E-05	2.86E-05	5.69E-05	7.75E-05	6.83E-05	6.94E-05	4.42E-05	6.23E-05	6.36E-05	5.02E-05	5.88E-05	0	0	0.000139312	0.000120034	0.000150065	0.000126603	7.75E-05	8.41E-05	5.64E-05	0	8.84E-05	8.94E-05
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	0	0	2.48E-06	5.54E-06	5.95E-06	0	0	0	0	0	0	0	0	0	6.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Mucilaginibacter.s__Mucilaginibacter_gotjawali	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	0	6.00E-05	8.80E-05	0.000110981	0.000106178	6.08E-05	1.23E-05	7.95E-05	4.08E-05	0.000112737	5.71E-05	0.00012363	9.53E-05	0.000112544	5.10E-05	8.28E-05	8.48E-05	8.31E-05	9.85E-05	2.48E-05	5.33E-05	4.45E-05	1.18E-05	3.50E-05	3.65E-05	1.02E-05	2.56E-05	4.57E-05	2.38E-05	4.16E-05	2.54E-05	4.58E-05	5.59E-05	1.11E-05	5.86E-05	4.47E-05	3.47E-05	3.58E-05	2.89E-05	0.000255477	0	7.18E-05	3.99E-05	2.86E-05	5.69E-05	7.75E-05	6.83E-05	6.94E-05	4.42E-05	6.23E-05	6.36E-05	5.01E-05	5.87E-05	0	0	0.000139312	0.000120034	0.000150065	0.000126603	7.75E-05	8.41E-05	5.64E-05	0	8.84E-05	8.94E-05
PWY-3661: glycine betaine degradation I	0	0	0	0	0	0	0	0	0	0	7.30E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3661: glycine betaine degradation I|unclassified	0	0	0	0	0	0	0	0	0	0	7.30E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	0	5.83E-06	1.37E-05	1.06E-05	3.62E-06	2.29E-05	0	3.37E-06	7.76E-06	1.44E-06	1.25E-05	8.71E-07	1.10E-05	1.21E-06	3.38E-05	3.55E-06	1.23E-05	1.22E-05	1.40E-06	0	0	0	0	1.86E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35E-06	2.85E-05	0	0	8.76E-07	1.09E-06	4.99E-06	1.96E-06	2.05E-06	2.95E-06	3.88E-06	9.40E-07	0	0	4.34E-06	0	0	0	0	6.59E-07	1.21E-06	1.03E-06	7.62E-07	0	0	7.01E-07	1.01E-06
PWY-3781: aerobic respiration I (cytochrome c)|unclassified	0	5.83E-06	2.49E-06	4.46E-06	2.93E-06	1.35E-05	0	3.37E-06	7.76E-06	1.44E-06	1.25E-05	8.71E-07	1.10E-05	1.21E-06	1.43E-05	8.97E-07	1.25E-06	1.72E-06	1.40E-06	0	0	0	0	1.86E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35E-06	2.83E-05	0	0	8.76E-07	1.09E-06	4.99E-06	1.96E-06	2.05E-06	2.95E-06	3.88E-06	9.40E-07	0	0	4.34E-06	0	0	0	0	6.59E-07	1.21E-06	1.03E-06	7.62E-07	0	0	7.01E-07	1.01E-06
PWY-3801: sucrose degradation II (sucrose synthase)	0	3.18E-06	3.47E-06	1.08E-05	0	0	0	0	6.04E-06	2.92E-06	7.27E-06	0	2.28E-06	3.33E-06	0	0	2.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132284	0	0	0	0	0	0	0	3.10E-06	0	0	0	0	3.30E-06	0	0	0	0	0	0	0	2.79E-06	0	0	2.43E-06	4.68E-06
PWY-3801: sucrose degradation II (sucrose synthase)|unclassified	0	3.14E-06	3.46E-06	1.06E-05	0	0	0	0	6.01E-06	2.92E-06	7.24E-06	0	2.27E-06	3.33E-06	0	0	2.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85E-05	0	0	0	0	0	0	0	3.10E-06	0	0	0	0	3.29E-06	0	0	0	0	0	0	0	2.79E-06	0	0	2.43E-06	4.68E-06
PWY-3841: folate transformations II (plants)	0	8.60E-05	0.00012735	0.000129995	0.000120675	9.20E-05	0	8.28E-05	6.54E-05	0.000237686	7.89E-05	0.000157652	0.000130371	0.000172173	9.24E-05	0.000133981	0.000121692	0.000123076	0.00013289	8.94E-05	4.89E-05	5.83E-05	6.43E-05	5.52E-05	4.13E-05	3.30E-05	6.81E-05	6.69E-05	5.24E-05	0.000103654	6.36E-05	8.74E-05	0.000129612	7.54E-05	0.000122668	8.74E-05	7.72E-05	0.000103752	6.57E-05	0.000270908	0	0.000183694	9.79E-05	0.000104079	9.48E-05	0.00014139	0.000130672	0.000126126	0.000148213	0.00018737	0.000180773	8.78E-05	9.03E-05	0	0	0.000204232	0.000190271	0.000183367	0.000177734	0.00014958	0.000158561	7.48E-05	1.83E-06	0.000142028	0.000156499
PWY-3841: folate transformations II (plants)|g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	0	0	4.44E-06	7.87E-06	8.88E-06	2.34E-06	0	0	0	0	0	0	0	0	7.93E-06	2.46E-06	2.49E-06	3.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Lactobacillus.s__Lactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Mucilaginibacter.s__Mucilaginibacter_gotjawali	0	0	0	0	0	0	0	0	0	0	0	0	8.66E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)|g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
